genus,prop_endemic,species_number,nz,nc,ng,wcvp,indo2,prop_aus,n,ala,rowsums,current_knowledge,reason,Least Concern,Critically Endangered,Data Deficient,Endangered,Near Threatened,Vulnerable,Lower Risk/near threatened,Extinct
Abildgaardia,1,2,FALSE,FALSE,TRUE,TRUE,TRUE,0.90633608815427,726,TRUE,4,non-endemic,NA,0,0,0,0,0,0,0,0
Abroma,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,0.647398843930636,173,TRUE,3,non-endemic,NA,0,0,0,0,0,0,0,0
Abrophyllum,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,827,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0
Acanthocarpus,1,7,FALSE,FALSE,FALSE,FALSE,FALSE,1,932,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0
Acanthocladium,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.987654320987654,81,TRUE,1,endemic,ALA taxonomy error,0,0,0,0,0,0,0,0
Aceratium,1,5,FALSE,FALSE,FALSE,TRUE,TRUE,0.735015772870662,634,TRUE,3,non-endemic,NA,1,0,0,0,0,0,0,0
Achnophora,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,57,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0
Acianthus,1,11,TRUE,TRUE,FALSE,TRUE,FALSE,0.973062763760438,11137,TRUE,4,non-endemic,NA,0,0,0,0,0,0,0,0
Acidonia,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,112,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0
Aciphylla,1,2,TRUE,FALSE,FALSE,TRUE,FALSE,0.284500693481276,5768,TRUE,3,non-endemic,NA,0,0,0,0,0,0,0,0
Ackama,1,2,TRUE,FALSE,FALSE,TRUE,FALSE,0.933261183261183,2772,TRUE,3,non-endemic,NA,1,0,0,0,0,0,0,0
Acomis,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,1,235,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0
Acradenia,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,0.998525073746313,678,FALSE,0,endemic,NA,1,0,0,0,0,0,0,0
Acriopsis,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,0.468354430379747,79,TRUE,3,non-endemic,NA,0,0,0,0,0,0,0,0
Acrophyllum,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.994011976047904,167,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0
Acrothamnus,1,4,TRUE,FALSE,FALSE,TRUE,TRUE,0.939010017678256,6788,TRUE,4,non-endemic,NA,0,0,0,0,0,0,0,0
Acrotriche,1,18,FALSE,FALSE,FALSE,FALSE,FALSE,1,30315,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0
Actinobole,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,1,5177,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0
Actinodium,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,303,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0
Actinoschoenus,1,5,FALSE,TRUE,FALSE,TRUE,TRUE,0.983539094650206,729,TRUE,4,non-endemic,NA,0,0,0,0,0,0,0,0
Actinotus,1,19,TRUE,FALSE,FALSE,TRUE,FALSE,0.99234091094272,12273,FALSE,2,non-endemic,NA,0,0,0,0,0,0,0,0
Actites,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,1413,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0
Acunniana,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,41,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0
Adansonia,1,1,FALSE,FALSE,TRUE,TRUE,TRUE,0.938504542278127,1431,TRUE,4,non-endemic,NA,0,0,0,0,0,0,0,0
Adelphacme,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,26,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0
Adenanthos,1,31,FALSE,FALSE,FALSE,FALSE,FALSE,1,6644,FALSE,0,endemic,NA,8,2,1,9,2,4,0,0
Adenochilus,1,1,TRUE,FALSE,FALSE,TRUE,FALSE,0.665354330708661,254,TRUE,3,non-endemic,NA,0,0,0,0,0,0,0,0
Adriana,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,2982,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0
Aeginetia,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,0.4,5,TRUE,3,non-endemic,NA,0,0,0,0,0,0,0,0
Aenictophyton,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,121,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0
Agastachys,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,643,FALSE,0,endemic,NA,1,0,0,0,0,0,0,0
Agiortia,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,461,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0
Agonis,1,4,TRUE,FALSE,TRUE,FALSE,FALSE,0.97248322147651,1490,TRUE,3,non-endemic,NA,1,0,0,0,0,0,0,0
Agrostocrinum,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,723,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0
Ajuga,1,2,FALSE,FALSE,TRUE,TRUE,TRUE,0.982453030840128,11284,TRUE,4,non-endemic,NA,0,0,0,0,0,0,0,0
Akania,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,659,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0
Alania,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,187,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0
Aldrovanda,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,0.79646017699115,113,TRUE,2,non-endemic,NA,0,0,0,1,0,0,0,0
